customer_id,full_name,age,city,segment,employment,credit_score,join_date
CUS00001,Akar Ziyaettin Aslan Yüksel,58,İstanbul,Bireysel,Serbest Meslek,694,2026-01-30
CUS00002,Zamir Sakarya,32,İstanbul,Bireysel,Öğrenci,637,2022-07-17
CUS00003,Suat Şafak,23,İzmir,Bireysel,Ücretli,708,2026-05-26
CUS00004,Aygutalp Bilir,23,İstanbul,Kurumsal,Öğrenci,787,2020-11-29
CUS00005,Seha Akar,19,İzmir,Kurumsal,Emekli,628,2022-08-15
CUS00006,Öğr. Seniha İnsaf Aslan,32,Ankara,Bireysel,Ücretli,628,2026-03-04
CUS00007,Doç. Maksur Şama,66,Antalya,KOBİ,Kendi İşi,792,2020-09-12
CUS00008,Doğanşah İnönü,35,İstanbul,Bireysel,Ücretli,719,2023-01-03
CUS00009,Aydınbey Kavurt Sakarya Ergül,23,Ankara,Bireysel,Kendi İşi,607,2023-07-04
CUS00010,Aynilhayat Gül,56,İstanbul,Bireysel,Emekli,698,2023-07-27
CUS00011,Karlukhan Aslanhan Durmuş Arslan,52,İstanbul,KOBİ,Ücretli,608,2024-07-20
CUS00012,Ürper Gülfeza Demirel Erdoğan,53,İstanbul,Kurumsal,Kendi İşi,608,2025-12-28
CUS00013,Prof. Ferzi Asım Akdeniz,54,İstanbul,Bireysel,Ücretli,671,2021-01-12
CUS00014,Kavurt Ezgütekin Ertaş Şener,60,İstanbul,Bireysel,Ücretli,477,2022-08-16
CUS00015,Okt. Hürdoğan Bilir,72,İstanbul,Bireysel,Emekli,494,2023-09-30
CUS00016,Benek Tevetoğlu,35,İzmir,Bireysel,Serbest Meslek,599,2026-05-06
CUS00017,Arş. Gör. Yurtgüven Yüksel,41,Ankara,Bireysel,Ücretli,558,2026-01-16
CUS00018,Öğr. Kitan Çolpan Bilgin Tarhan,56,İzmir,Kurumsal,Serbest Meslek,678,2022-01-12
CUS00019,Eflâtun İlgi Türk,28,İzmir,Bireysel,Öğrenci,568,2023-05-27
CUS00020,Kezban Erdoğan Bilir,32,Bursa,Bireysel,Serbest Meslek,522,2023-04-30
CUS00021,Gülşa Şensoy,70,İstanbul,Bireysel,Emekli,781,2025-06-20
CUS00022,Sevican Manço Eraslan,35,İstanbul,Kurumsal,Kendi İşi,629,2024-11-21
CUS00023,Doç. Seha Sahir Eraslan,31,Bursa,KOBİ,Emekli,656,2021-10-30
CUS00024,Yrd. Doç. Piran Nevsale Bilgin,27,İstanbul,Bireysel,Öğrenci,521,2025-08-13
CUS00025,Dr. Aysuna Bilge Demir,52,İstanbul,Kurumsal,Emekli,601,2021-10-26
CUS00026,Prof. Uraltay Şafak,75,İzmir,Bireysel,Serbest Meslek,659,2021-12-10
CUS00027,Kaşif Kısakürek,26,İzmir,Bireysel,Ücretli,546,2025-09-18
CUS00028,Arş. Gör. Hüda Çağlar Bilge Akça,73,İstanbul,Bireysel,Emekli,683,2025-09-17
CUS00029,Us Sadittin İnönü Aslan,56,İstanbul,KOBİ,Öğrenci,595,2020-09-27
CUS00030,Dilfeza Arslan,47,İzmir,Kurumsal,Ücretli,623,2026-02-04
CUS00031,Öğr. Abdulkadir Gül,61,Bursa,Kurumsal,Kendi İşi,595,2024-05-04
CUS00032,Arş. Gör. Baba Bilge,67,İzmir,Bireysel,Kendi İşi,816,2022-11-19
CUS00033,Türknur Şennur Akar,45,İstanbul,Bireysel,Kendi İşi,648,2025-12-17
CUS00034,Feyha Zerafet Öcalan İhsanoğlu,50,Antalya,Kurumsal,Ücretli,554,2021-12-10
CUS00035,Sümeyye Hayrioğlu,73,İzmir,Kurumsal,Öğrenci,724,2025-02-25
CUS00036,Baltaş İhsanoğlu,30,İstanbul,Bireysel,Öğrenci,540,2024-10-19
CUS00037,Hayrünnisa Ağbegim Yüksel,67,Konya,Bireysel,Öğrenci,668,2023-09-24
CUS00038,Atilhan Gül,38,İzmir,Bireysel,Kendi İşi,473,2025-06-20
CUS00039,Çetinsu Duran,74,Gaziantep,Bireysel,Serbest Meslek,530,2024-10-10
CUS00040,Tuğcan Güçlü,21,İstanbul,Kurumsal,Ücretli,667,2021-09-17
CUS00041,Çev. Rezzak Bilge,23,Bursa,Bireysel,Öğrenci,716,2025-04-27
CUS00042,Öğr. Zerafet Gülper Demirel,67,İstanbul,KOBİ,Öğrenci,665,2025-10-20
CUS00043,Nurda Dumanlı Akçay,28,İstanbul,Kurumsal,Emekli,639,2023-04-18
CUS00044,Dr. Hoşkadem Hadrey Erdoğan Şama,31,Konya,Bireysel,Kendi İşi,622,2025-01-17
CUS00045,Yrd. Doç. Duruk Abdülahat Erdoğan,43,Gaziantep,Bireysel,Emekli,516,2020-10-27
